"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_D"
"Daily Murli Saar Widget",27,4.6,308,0.454,10000,0,0,0,100,"2015-06-10",113,10,2015,49,"SOCIAL","Free","Social","1.0","3.0 and up","2015-06",0,0,3,4
"Dating.dk",27,3.7,2111,11,1e+05,0,0,1.5,100,"2018-08-06",1937,20,2018,87,"SOCIAL","Free","Social","4.1.23","4.4 and up","2018-08",0,0,0,6
"DB Event App",27,2.4,37,37,5000,0,0,1,100,"2017-06-25",113,17,2017,73,"SOCIAL","Free","Social","1.0","4.1 and up","2017-06",0,0,0,2
"DC Comics Amino",27,4.9,117,63,1000,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,2
"DK Murali",27,4.8,65,7.1,500,0,0,1,100,"2017-02-25",300,17,2017,69,"SOCIAL","Free","Social","1.1.2","4.1 and up","2017-02",0,0,3,1
"DM for IG <U+0001F618> - Image & Video Saver for Instagram",27,3.7,55,3.7,5000,0,0,1,100,"2018-03-03",1677,20,2018,82,"SOCIAL","Free","Social","3.20.3","4.4 and up","2018-03",0,0,0,2
"DM Me - Chat",27,2.9,90,30,10000,0,0,1.5,100,"2018-07-09",113,15,2018,86,"SOCIAL","Free","Social","1.0","4.0.3 and up","2018-07",0,0,0,4
"DM Storage (for twitter)",27,3.2,6,0.458,100,0,0,0,100,"2014-11-26",113,17,2014,42,"SOCIAL","Free","Social","1.0","4.1 and up","2014-11",0,0,0,0
"DN Blog",27,5,20,4.2,10,0,0,1,100,"2018-07-23",113,13,2018,86,"SOCIAL","Free","Social","1.0","4.0 and up","2018-07",0,0,3,0
"DP and Status for WhatsApp 2018",27,4.5,787,6.9,1e+05,0,0,0,100,"2018-02-17",1308,15,2018,81,"SOCIAL","Free","Social","2.4.2","4.0.3 and up","2018-02",0,0,2,6
"DP Display Pictures Life Quotes Motivational GM",27,4.4,39,11,5000,0,0,0,100,"2018-01-01",1465,17,2018,80,"SOCIAL","Free","Social","20","4.1 and up","2018-01",0,0,2,2
"Dp for Facebook",27,4.1,56,10,5000,0,0,0,100,"2017-05-16",113,15,2017,72,"SOCIAL","Free","Social","1.0","4.0.3 and up","2017-05",0,0,1,2
"Dp For Whatsapp",27,4.3,39,12,5000,0,0,0,100,"2017-04-13",113,15,2017,71,"SOCIAL","Free","Social","1.0","4.0.3 and up","2017-04",0,0,2,2
"Dr B R Ambedkar (Jai Bhim)",27,4.7,2068,7.5,1e+05,0,0,0,100,"2014-04-13",113,7,2014,35,"SOCIAL","Free","Social","1.0","2.2 and up","2014-04",0,0,3,6
"Dr. B.R.Ambedkar",27,4.8,1902,5.2,1e+05,0,0,0,100,"2014-06-05",532,5,2014,37,"SOCIAL","Free","Social","1.3","2.1 and up","2014-06",0,0,3,6
"DV Statistics",27,4.2,6,2.7,100,0,0,0,100,"2015-10-08",424,15,2015,53,"SOCIAL","Free","Social","1.2","4.0.3 and up","2015-10",0,0,1,0
"eChallan Andhra Pradesh (AP)",27,3,5,2.6,1000,0,0,1,100,"2018-02-15",127,17,2018,81,"SOCIAL","Free","Social","1.0.0.4","4.1 and up","2018-02",0,0,0,2
"Eddsworld Amino",27,4.9,3071,63,10000,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,4
"Ek Maratha",27,4.8,725,3.7,10000,0,0,1,100,"2016-10-12",2548,7,2016,65,"SOCIAL","Free","Social","7.5.3","2.2 and up","2016-10",0,0,3,4
"Equestria Amino for MLP",27,4.8,8369,63,50000,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,4
"Eternal Light AG",27,5,30,13,100,0,0,1,100,"2018-05-19",262,15,2018,84,"SOCIAL","Free","Social","1.04","4.0.3 and up","2018-05",0,0,3,0
"European Solidarity Corps",27,3.6,9,21,1000,0,0,1,100,"2018-07-05",426,20,2018,86,"SOCIAL","Free","Social","1.2.0","4.4 and up","2018-07",0,0,0,2
"Evasion.bz",27,4.1,8,4.4,100,0,0,1,100,"2017-07-14",15,17,2017,74,"SOCIAL","Free","Social","0.0.9","4.1 and up","2017-07",0,0,1,0
"EXO-L Amino for EXO Fans",27,4.9,5677,67,50000,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,4
"EZ Video Download for Facebook",27,4.1,34079,1.3,1e+06,0,0,1,100,"2017-03-14",1071,15,2017,70,"SOCIAL","Free","Social","2.001","4.0.3 and up","2017-03",0,0,1,9
"Fake Chat (Direct Message)",27,4.4,5985,5.9,5e+05,0,0,0,100,"2017-07-06",608,17,2017,74,"SOCIAL","Free","Social","1.4.2","4.1 and up","2017-07",0,0,2,7
"Fame Boom for Real Followers, Likes",27,4.7,896118,6.6,5e+06,0,0,0,100,"2017-10-09",534,17,2017,77,"SOCIAL","Free","Social","1.3.0","4.1 and up","2017-10",0,0,3,9
"Faster for Facebook Lite",27,4.3,24456,4.6,1e+06,0,0,1,100,"2018-05-29",2085,17,2018,84,"SOCIAL","Free","Social","4.7","4.1 and up","2018-05",0,0,2,9
"Faster Social for Facebook",27,4.2,1236,3.3,1e+05,0,0,1,100,"2018-08-02",756,19,2018,87,"SOCIAL","Free","Social","1.8","4.3 and up","2018-08",0,0,1,6
"FCB Connect - FC Barcelona",27,4.5,795,21,50000,0,0,1,100,"2018-06-07",1118,17,2018,85,"SOCIAL","Free","Social","2.1.5","4.1 and up","2018-06",0,0,2,4
"Fiesta by Tango - Find, Meet and Make New Friends",27,4.3,112223,34,1e+06,0,0,1.5,100,"2018-07-05",2312,25,2018,86,"SOCIAL","Free","Social","5.68.1","5.0 and up","2018-07",0,0,2,9
"FollowMeter for Instagram",27,4.4,90082,8.8,1e+06,0,0,0,100,"2018-05-22",1324,17,2018,84,"SOCIAL","Free","Social","2.44","4.1 and up","2018-05",0,0,2,9
"Fr Daoud Lamei",27,4.7,2036,6.8,1e+05,0,0,0,100,"2018-05-20",746,15,2018,84,"SOCIAL","Free","Social","1.72","4.0.3 and up","2018-05",0,0,3,6
"Free Messages, Video, Chat,Text for Messenger Plus",27,4.3,6086,3.1,1e+06,0,0,1,100,"2018-06-14",234,19,2018,85,"SOCIAL","Free","Social","1.0.9","4.3 and up","2018-06",40,0,2,9
"Friendly for Facebook",27,4.5,42621,23,1e+06,0,0,1,100,"2018-08-07",1097,20,2018,87,"SOCIAL","Free","Social","2.1.05","4.4 and up","2018-08",0,0,2,9
"FunForMobile Ringtones & Chat",27,4.4,68358,7.2,5e+06,0,0,1.5,100,"2016-05-07",1681,17,2016,60,"SOCIAL","Free","Social","3.22","4.1 and up","2016-05",0,0,2,9
"funny Image Comments for FB",27,3.9,19,15,5000,0,0,1,100,"2018-02-13",1014,17,2018,81,"SOCIAL","Free","Social","2.0","4.1 and up","2018-02",0,0,0,2
"FutureNet your social app",27,4.2,2093,7,1e+05,0,0,1,100,"2018-03-08",1723,18,2018,82,"SOCIAL","Free","Social","3.36","4.2 and up","2018-03",0,0,1,6
"Gayvox - Gay Lesbian Bi Dating",27,3.4,3640,9.1,5e+05,0,0,1.5,100,"2016-06-13",1615,8,2016,61,"SOCIAL","Free","Social","3.1.9","2.3 and up","2016-06",0,0,0,7
"GirlTalk.dk",27,4.3,3,5.3,100,0,0,1,100,"2017-09-22",1581,17,2017,76,"SOCIAL","Free","Social","3.1.0","4.1 and up","2017-09",0,0,2,0
"Golden telegram",27,4.3,374,20,50000,0,0,0,100,"2018-07-30",2740,17,2018,86,"SOCIAL","Free","Social","T4.6.5-tl2.0.1","4.1 and up","2018-07",0,0,2,4
"Greeting Cards & Wishes",27,4.5,17350,12,5e+05,0,0,0,100,"2018-07-18",270,32,2018,86,"SOCIAL","Free","Social","1.078","Varies with device","2018-07",0,0,2,7
"Hashtags For Likes.co",27,4.3,420,18,50000,0,0,0,100,"2016-12-19",277,15,2016,67,"SOCIAL","Free","Social","1.1","4.0.3 and up","2016-12",0,0,2,4
"Hide Something - Photo, Video",27,4.6,225103,5.3,5e+06,0,0,0,100,"2018-06-13",2181,17,2018,85,"SOCIAL","Free","Social","5.1.1","4.1 and up","2018-06",10,30,3,9
"Hum Ek Hain 2.02",27,5,2,1.8,10,0,0,1,100,"2018-03-18",113,25,2018,82,"SOCIAL","Free","Social","1.0","5.0 and up","2018-03",0,0,3,0
"iCard BD Plus",27,5,2,2.4,500,0,0,0,100,"2016-07-15",1811,3,2016,62,"SOCIAL","Free","Social","3.7.5","2.0 and up","2016-07",0,0,3,1
"Instachat <U+0001F61C>",27,4,80987,25,5e+06,0,0,1,100,"2018-07-30",1221,20,2018,86,"SOCIAL","Free","Social","2.2.4","4.4 and up","2018-07",0,0,0,9
"Instant DP Downloader for Instagram",27,4.7,38,4.1,5000,0,0,0,100,"2018-08-04",201,18,2018,87,"SOCIAL","Free","Social","1.0.4","4.2 and up","2018-08",0,0,3,2
"Jamaa Amino for Animal Jam",27,4.7,3873,63,10000,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,4
"Jodel - The Hyperlocal App",27,4.5,76480,20,1e+06,0,0,1.5,100,"2018-08-06",2137,25,2018,87,"SOCIAL","Free","Social","4.95.4","5.0 and up","2018-08",0,0,2,9
"Join R, Community Engagement",27,4.7,144,12,1000,0,0,1,100,"2017-01-31",151,15,2017,68,"SOCIAL","Free","Social","1.0.12","4.0.3 and up","2017-01",0,0,3,2
"KDRAMA Amino for K-Drama Fans",27,4.6,4046,63,1e+05,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,6
"KPOP Amino for K-Pop Entertainment",27,4.8,19047,63,1e+05,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,6
"Lesbian Chat & Dating - SPICY",27,4.5,63765,11,1e+06,0,0,1.5,100,"2018-07-31",1965,17,2018,86,"SOCIAL","Free","Social","4.17.2","4.1 and up","2018-07",0,0,2,9
"Lite Messenger for Facebook Lite",27,3.8,108,2.8,10000,0,0,1,100,"2018-05-28",1578,18,2018,84,"SOCIAL","Free","Social","3.1","4.2 and up","2018-05",0,0,0,4
"Love Images",27,4.3,16404,2.3,1e+06,0,0,0,100,"2018-06-24",688,8,2018,85,"SOCIAL","Free","Social","1.6","2.3 and up","2018-06",0,0,2,9
"Love Sticker",27,4.6,33177,10,1e+06,0,0,0,100,"2018-06-12",1121,13,2018,85,"SOCIAL","Free","Social","2.1.6","4.0 and up","2018-06",0,0,3,9
"Mali J",27,3.2,185,4.7,10000,0,0,1,100,"2017-10-20",139,17,2017,77,"SOCIAL","Free","Social","1.0.1","4.1 and up","2017-10",0,0,0,4
"MB Notifications for FB (Free)",27,3.9,3047,1.5,1e+05,0,0,1,100,"2015-04-29",403,8,2015,47,"SOCIAL","Free","Social","1.17.0","2.3 and up","2015-04",0,0,0,6
"Meet – Talk to Strangers Using Random Video Chat",27,4.6,60562,15,5e+06,0,0,1.5,100,"2018-08-06",545,19,2018,87,"SOCIAL","Free","Social","1.3.2","4.3 and up","2018-08",0,0,3,9
"Meet U - Get Friends for Snapchat, Kik & Instagram",27,4.6,4435,5.4,1e+05,0,0,1.5,100,"2018-05-25",197,15,2018,84,"SOCIAL","Free","Social","1.0.3386","4.0.3 and up","2018-05",0,0,3,6
"Meetup",27,4.2,79129,23,5e+06,0,0,1,100,"2018-08-02",1617,20,2018,87,"SOCIAL","Free","Social","3.10.26","4.4 and up","2018-08",0,0,1,9
"Message AI - Write Better Messages (Free)",27,3.7,3,7.9,100,0,0,0,100,"2018-07-04",537,25,2018,86,"SOCIAL","Free","Social","1.3.1-lite","5.0 and up","2018-07",0,0,0,0
"Messenger Pro",27,4.4,13762,3.9,1e+06,0,0,0,100,"2018-05-09",173,17,2018,84,"SOCIAL","Free","Social","1.0.2","4.1 and up","2018-05",0,0,2,9
"Mini for Facebook lite",27,4.1,260,1.3,10000,0,0,1,100,"2018-06-21",424,10,2018,85,"SOCIAL","Free","Social","1.2","3.0 and up","2018-06",0,0,1,4
"Mirrativ: Live Stream Any App",27,4.1,17955,89,5e+05,0,0,1,100,"2018-08-02",2525,17,2018,87,"SOCIAL","Free","Social","7.23.4","4.1 and up","2018-08",0,0,1,7
"Moment",27,4.5,19583,37,1e+06,0,0,1,100,"2018-08-01",2222,20,2018,87,"SOCIAL","Free","Social","5.2.1","4.4 and up","2018-08",0,0,2,9
"Movement BE",27,5,20,1.2,100,0,0,1,100,"2016-11-10",424,20,2016,66,"SOCIAL","Free","Social","1.2","4.4 and up","2016-11",0,0,3,0
"Nextdoor - Local neighborhood news & classifieds",27,4.3,51502,20,5e+06,0,0,1,100,"2018-07-25",1401,25,2018,86,"SOCIAL","Free","Social","2.69","5.0 and up","2018-07",0,0,2,9
"Patook - make platonic friends",27,4,3677,50,1e+05,0,0,1.5,100,"2018-06-21",868,25,2018,85,"SOCIAL","Free","Social","10.6.3","5.0 and up","2018-06",0,0,0,6
"Phoenix - Facebook & Messenger",27,4.3,9606,3.4,1e+05,0,0,1,100,"2018-07-18",1199,25,2018,86,"SOCIAL","Free","Social","2.2.0717","5.0 and up","2018-07",0,0,2,6
"Pink Color for Facebook",27,4.1,5285,4,5e+05,0,0,0,100,"2018-07-01",1056,17,2018,86,"SOCIAL","Free","Social","2.0.5","4.1 and up","2018-07",0,0,1,7
"pixiv",27,4.2,86956,24,1e+06,0,0,1.5,100,"2018-08-03",2161,20,2018,87,"SOCIAL","Free","Social","5.0.109","4.4 and up","2018-08",0,0,1,9
"Profile Pictures and DP for Whatsapp",27,4.3,48,11,5000,0,0,0,100,"2017-05-12",532,15,2017,72,"SOCIAL","Free","Social","1.3","4.0.3 and up","2017-05",0,0,2,2
"Profile Tracker - Who Viewed My Facebook Profile",27,4.7,37090,4.8,5e+05,0,0,1,100,"2018-08-01",2274,17,2018,87,"SOCIAL","Free","Social","5.4","4.1 and up","2018-08",0,0,3,7
"Qeek for Instagram - Zoom profile insta DP",27,4.6,12111,9.1,5e+05,0,0,0,100,"2018-05-03",636,19,2018,84,"SOCIAL","Free","Social","1.47","4.3 and up","2018-05",0,0,3,7
"Rande.cz",27,3.2,398,2.2,50000,0,0,1.5,100,"2014-12-03",139,9,2014,43,"SOCIAL","Free","Social","1.0.1","2.3.3 and up","2014-12",0,0,0,4
"Sabka Malik Ek Sai",27,4.2,17,5.1,1000,0,0,1,100,"2013-05-25",532,7,2013,24,"SOCIAL","Free","Social","1.3","2.2 and up","2013-05",0,0,1,2
"See U - Random video chat, video chat",27,4.1,568,27,1e+05,0,0,1.5,100,"2018-04-13",599,17,2018,83,"SOCIAL","Free","Social","1.4.1","4.1 and up","2018-04",0,0,1,6
"Share G - Images Sharing - Wallpapers App",27,4.4,120,2.3,10000,0,0,1,100,"2017-10-05",113,15,2017,77,"SOCIAL","Free","Social","1.0","4.0.3 and up","2017-10",0,0,2,4
"Social network all in one 2018",27,4.3,1403,3.7,1e+05,0,0,0,100,"2018-01-30",113,13,2018,80,"SOCIAL","Free","Social","1.0","4.0 and up","2018-01",0,0,2,6
"SPARK - Live random video chat & meet new people",27,4.6,79658,17,5e+06,0,0,1.5,100,"2018-08-06",1114,19,2018,87,"SOCIAL","Free","Social","2.1.3.2","4.3 and up","2018-08",0,0,3,9
"Stickers for Facebook",27,4.3,11066,10,1e+06,0,0,0,100,"2018-03-13",592,20,2018,82,"SOCIAL","Free","Social","1.4","4.4 and up","2018-03",0,0,2,9
"Stickers for Imo, fb, whatsapp",27,4.4,214,8.7,10000,0,0,1,100,"2016-10-23",123,8,2016,65,"SOCIAL","Free","Social","1.0.0.2","2.3 and up","2016-10",0,0,2,4
"Swift for Facebook Lite",27,4.3,9562,5.8,5e+05,0,0,1,100,"2018-05-31",1924,32,2018,84,"SOCIAL","Free","Social","4.1.0","Varies with device","2018-05",0,0,2,7
"The Messenger App",27,4.4,4919,2.8,1e+06,0,0,0,100,"2018-08-03",18,17,2018,87,"SOCIAL","Free","Social","0.1.1","4.1 and up","2018-08",0,0,2,9
"The Video Messenger App",27,4.4,1200,2.8,1e+05,0,0,0,100,"2018-08-02",18,17,2018,87,"SOCIAL","Free","Social","0.1.1","4.1 and up","2018-08",0,0,2,6
"Timehop",27,4.1,161610,16,5e+06,0,0,1,100,"2018-08-05",2057,17,2018,87,"SOCIAL","Free","Social","4.5.3","4.1 and up","2018-08",0,0,1,9
"TN e Sevai TN EB Bill Patta Citta EC Birth All Hub",27,3.7,23,16,5000,0,0,0,100,"2018-04-26",113,17,2018,83,"SOCIAL","Free","Social","1.0","4.1 and up","2018-04",0,0,0,2
"TN Patta /Chitta /EC New",27,4.8,5,3,100,0,0,1,100,"2018-07-20",113,13,2018,86,"SOCIAL","Free","Social","1.0","4.0 and up","2018-07",0,0,3,0
"U-Report",27,4.3,241,7.5,10000,0,0,1,100,"2018-04-10",1435,15,2018,83,"SOCIAL","Free","Social","2.8.4","4.0.3 and up","2018-04",0,0,2,4
"U LIVE – Video Chat & Stream",27,4.5,67611,21,1e+06,0,0,1.5,100,"2018-04-23",1516,15,2018,83,"SOCIAL","Free","Social","263.16.29","4.0.3 and up","2018-04",0,0,2,9
"uCiC- Videos and Photos on demand",27,4,2052,7,1e+05,0,0,1,100,"2017-09-27",1172,20,2017,76,"SOCIAL","Free","Social","2.16","4.4 and up","2017-09",0,0,0,6
"Undertale AU Amino",27,4.8,5369,63,50000,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,4
"Unlimited Group Links - Whatsapp, FB, Telegram",27,3.4,44,2.8,10000,0,0,1.5,100,"2018-07-03",1889,15,2018,86,"SOCIAL","Free","Social","4.0","4.0.3 and up","2018-07",0,0,0,4
"UP EB Bill Payment & Details",27,5,3,2.4,50,0,0,1,100,"2018-07-11",1014,13,2018,86,"SOCIAL","Free","Social","2.0","4.0 and up","2018-07",0,0,3,0
"V Bucks ProTips New",27,4.7,594,3.6,1000,0,0,0,100,"2018-07-19",113,5,2018,86,"SOCIAL","Free","Social","1.0","2.1 and up","2018-07",0,0,3,2
"Verdad o Reto",27,3.8,826,5.1,5e+05,0,0,1,100,"2018-05-10",1014,17,2018,84,"SOCIAL","Free","Social","2.0","4.1 and up","2018-05",0,0,0,7
"VidStatus app - Status Videos & Status Downloader",27,4.5,25562,31,5e+06,0,0,1,100,"2018-08-02",1378,17,2018,87,"SOCIAL","Free","Social","2.6.10","4.1 and up","2018-08",0,0,2,9
"VMate Lite - Funny Short Videos Social Network",27,4.3,903,4.6,1e+06,0,0,1,100,"2018-08-03",752,15,2018,87,"SOCIAL","Free","Social","1.76","4.0.3 and up","2018-08",0,0,2,9
"W-History Standalone",27,3.2,38,1.5,1000,1,0.99,0,100,"2018-03-09",831,29,2018,82,"SOCIAL","Paid","Social","1.935","7.0 and up","2018-03",0,0,0,2
"Web Browser & Fast Explorer",27,4.4,54768,2.6,5e+06,0,0,0,100,"2018-05-16",1786,15,2018,84,"SOCIAL","Free","Social","3.6.1","4.0.3 and up","2018-05",0,0,2,9
"Web Browser ( Fast & Secure Web Explorer)",27,4.4,2508,6,5e+05,0,0,0,100,"2017-11-20",1023,15,2017,78,"SOCIAL","Free","Social","2.0.1","4.0.3 and up","2017-11",0,0,2,7
"What U See",27,4,712,21,1e+05,0,0,1,100,"2018-03-05",1287,17,2018,82,"SOCIAL","Free","Social","2.3.9","4.1 and up","2018-03",0,0,0,6
"WhatsFake Pro (Ad free)",27,4.2,204,9.4,5000,1,0.99,0,100,"2017-09-25",592,17,2017,76,"SOCIAL","Paid","Social","1.4","4.1 and up","2017-09",0,0,1,2
"Who Viewed My Facebook Profile - Stalkers Visitors",27,4.6,271445,9.9,5e+06,0,0,0,100,"2018-06-24",1928,15,2018,85,"SOCIAL","Free","Social","4.1.1","4.0.3 and up","2018-06",0,0,3,9
"Wishbone - Compare Anything",27,4.3,51569,26,1e+06,0,0,1,100,"2018-07-30",2280,17,2018,86,"SOCIAL","Free","Social","5.4.7","4.1 and up","2018-07",0,0,2,9
"YAY - TBH",27,4.1,2520,12,1e+05,0,0,1,100,"2017-11-17",317,19,2017,78,"SOCIAL","Free","Social","1.1.5","4.3 and up","2017-11",0,0,1,6
