"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_D"
"ALL-IN-ONE PACKAGE TRACKING",25,4.7,167406,18,1e+06,0,0,0,81,"2018-07-23",1591,15,2018,86,"PRODUCTIVITY","Free","Productivity","3.1.1281","4.0.3 and up","2018-07",0,0,3,8
"Alt-C",25,4,499,4.7,10000,0,0,0,81,"2017-01-27",584,13,2017,68,"PRODUCTIVITY","Free","Productivity","1.37","4.0 and up","2017-01",0,0,1,3
"Amazon Drive",25,4.4,18669,4.1,1e+06,0,0,0,81,"2018-01-08",801,18,2018,80,"PRODUCTIVITY","Free","Productivity","1.9.1.147.0-google","4.2 and up","2018-01",4,36,2,8
"AP ENPS Mobile",25,4.1,22,0.545,5000,0,0,0,81,"2016-03-08",2577,20,2016,58,"PRODUCTIVITY","Free","Productivity","8.0.0130","4.4 and up","2016-03",0,0,1,2
"APUS Booster - Space Cleaner & Booster",25,4.6,1048766,13,1e+07,0,0,0,81,"2018-08-03",1388,15,2018,87,"PRODUCTIVITY","Free","Productivity","2.6.28","4.0.3 and up","2018-08",0,0,3,9
"Archos File Manager",25,4,2131,2.3,5e+06,0,0,0,81,"2016-04-22",1941,17,2016,59,"PRODUCTIVITY","Free","Productivity","4.1.4","4.1 and up","2016-04",9,31,1,9
"ASUS Quick Memo",25,4.5,23089,1.6,1e+07,0,0,0,81,"2018-04-11",342,24,2018,83,"PRODUCTIVITY","Free","Productivity","1.10.0.33_180403","5.0 - 8.0","2018-04",38,2,3,9
"AT&T Mobile Transfer",25,4.6,22775,26,1e+07,0,0,0,81,"2018-07-31",1819,20,2018,86,"PRODUCTIVITY","Free","Productivity","3.8.2","4.4 and up","2018-07",0,0,3,9
"AutoCAD - DWG Viewer & Editor",25,4.2,145088,24,1e+07,0,0,0,81,"2018-07-23",2050,20,2018,86,"PRODUCTIVITY","Free","Productivity","4.5.19","4.4 and up","2018-07",4,36,2,9
"Avast Wi-Fi Finder",25,4.3,37277,13,1e+06,0,0,0,81,"2018-02-26",1265,15,2018,81,"PRODUCTIVITY","Free","Productivity","2.3.1","4.0.3 and up","2018-02",0,0,2,8
"AVG Cleaner – Speed, Battery & Memory Booster",25,4.4,1188154,24,1e+07,0,0,0,81,"2018-06-14",2079,17,2018,85,"PRODUCTIVITY","Free","Productivity","4.6.4","4.1 and up","2018-06",5,35,2,9
"BA Calculator",25,4.1,22,2.4,5000,0,0,0,81,"2018-07-22",431,15,2018,86,"PRODUCTIVITY","Free","Productivity","1.2.1","4.0.3 and up","2018-07",0,0,1,2
"BAMMS for BM SQ",25,4,2,10,10,0,0,0,81,"2018-07-24",551,17,2018,86,"PRODUCTIVITY","Free","Productivity","1.3.3","4.1 and up","2018-07",0,0,1,0
"BD Attendance",25,4.8,93,14,1000,0,0,0,81,"2018-07-17",1270,19,2018,86,"PRODUCTIVITY","Free","Productivity","2.3.14","4.3 and up","2018-07",0,0,3,2
"BD Field Force",25,4.2,41,15,1000,0,0,0,81,"2018-08-01",540,19,2018,87,"PRODUCTIVITY","Free","Productivity","1.3.13","4.3 and up","2018-08",0,0,2,2
"Best Applock - Locker & No Ads",25,4.7,10672,6.9,1e+05,0,0,0,81,"2018-06-23",1099,17,2018,85,"PRODUCTIVITY","Free","Productivity","2.1.1","4.1 and up","2018-06",0,0,3,5
"BG+Phone Backup",25,4.8,16,2.6,1000,0,0,0,81,"2017-02-17",189,8,2017,69,"PRODUCTIVITY","Free","Productivity","1.0.3","2.3 and up","2017-02",0,0,3,2
"BJ Memo Widget",25,4,616,0.175,50000,0,0,0,81,"2014-09-22",532,10,2014,40,"PRODUCTIVITY","Free","Productivity","1.3","3.0 and up","2014-09",0,0,1,4
"Bomb and Nade Timer for CS:GO",25,2.6,85,6,5000,0,0,0,81,"2016-04-21",300,13,2016,59,"PRODUCTIVITY","Free","Productivity","1.1.2","4.0 and up","2016-04",0,0,0,2
"Builder (by Engineer.ai)",25,3.6,8,3.2,100,0,0,0,81,"2017-11-04",425,17,2017,78,"PRODUCTIVITY","Free","Productivity","1.2-Release","4.1 and up","2017-11",0,0,0,0
"Business Calendar 2",25,4.6,102594,15,5e+06,0,0,0,81,"2018-07-23",1288,17,2018,86,"PRODUCTIVITY","Free","Productivity","2.30.1","4.1 and up","2018-07",15,25,3,9
"BV Mobile Apps",25,5,3,4.8,100,0,0,0,81,"2018-06-05",1014,18,2018,85,"PRODUCTIVITY","Free","Productivity","2.0","4.2 and up","2018-06",0,0,3,0
"CA World '17",25,3.7,7,18,1000,0,0,1,81,"2018-06-10",2511,25,2018,85,"PRODUCTIVITY","Free","Productivity","7.17.2.0","5.0 and up","2018-06",0,0,0,2
"Cal - Google Calendar + Widget",25,4.2,86172,13,1e+06,0,0,0,81,"2016-02-01",328,13,2016,57,"PRODUCTIVITY","Free","Productivity","1.1.7","4.0 and up","2016-02",0,0,2,8
"Calculator L",25,4.5,2965,2.4,1e+05,0,0,0,81,"2015-05-10",306,19,2015,48,"PRODUCTIVITY","Free","Productivity","1.1.3","4.3 and up","2015-05",0,0,3,5
"Calendar Widget Month + Agenda",25,4.2,60840,1.9,5e+06,0,0,0,81,"2018-05-31",514,15,2018,84,"PRODUCTIVITY","Free","Productivity","1.26.2","4.0.3 and up","2018-05",38,2,2,9
"Calendar+ Schedule Planner App",25,4,8985,5.7,1e+06,0,0,0,81,"2017-01-16",269,15,2017,68,"PRODUCTIVITY","Free","Productivity","1.07.59","4.0.3 and up","2017-01",39,1,1,8
"Calendars (En, Bn, Ar)",25,4.6,27,2.5,1000,0,0,0,81,"2017-06-05",455,13,2017,73,"PRODUCTIVITY","Free","Productivity","1.2.3","4.0 and up","2017-06",0,0,3,2
"California Cop Assist CA Cop",25,3,5,7,100,1,4.99,0,81,"2014-02-11",532,7,2014,33,"PRODUCTIVITY","Paid","Productivity","1.3","2.2 and up","2014-02",0,0,0,0
"CamScanner (License)",25,4.4,26358,0.05,5e+05,1,1.99,0,81,"2014-01-17",718,3,2014,32,"PRODUCTIVITY","Paid","Productivity","1.7","2.0 and up","2014-01",0,0,2,6
"CD Library",25,3.9,44,3.3,10000,0,0,0,81,"2017-02-18",2317,5,2017,69,"PRODUCTIVITY","Free","Productivity","5.7.2","2.1 and up","2017-02",0,0,0,3
"CG - Calendars Add-On",25,3.6,49,2.3,5000,0,0,0.5,81,"2015-07-29",139,13,2015,50,"PRODUCTIVITY","Free","Productivity","1.0.1","4.0 and up","2015-07",0,0,0,2
"Charlotte County, FL",25,4.7,10,7.1,1000,0,0,0,81,"2017-02-23",1837,15,2017,69,"PRODUCTIVITY","Free","Productivity","3.9.4","4.0.3 and up","2017-02",0,0,3,2
"Chelsea FC Official Keyboard",25,4.5,91397,14,1e+06,0,0,0,81,"2018-07-03",1736,25,2018,86,"PRODUCTIVITY","Free","Productivity","3.4.4","5.0 and up","2018-07",0,0,3,8
"CircleCI Viewer",25,4.6,16,3.2,1000,0,0,0,81,"2017-08-23",545,20,2017,75,"PRODUCTIVITY","Free","Productivity","1.3.2","4.4 and up","2017-08",0,0,3,2
"CJ'S TIRE AND AUTO INC.",25,5,5,11,100,0,0,0,81,"2018-05-30",139,17,2018,84,"PRODUCTIVITY","Free","Productivity","1.0.1","4.1 and up","2018-05",0,0,3,0
"CJ Wilson's ZoomZoomnation",25,4,4,8.2,500,0,0,0,81,"2018-07-11",1769,15,2018,86,"PRODUCTIVITY","Free","Productivity","3.5.3","4.0.3 and up","2018-07",0,0,1,1
"Clean My Android",25,4.7,101163,6.2,5e+06,0,0,0,81,"2018-07-31",615,17,2018,86,"PRODUCTIVITY","Free","Productivity","1.4.5.2","4.1 and up","2018-07",0,0,3,9
"Clean My House – Chore To Do List, Task Scheduler",25,4.1,661,3.4,1e+05,0,0,0,81,"2018-06-21",1107,17,2018,85,"PRODUCTIVITY","Free","Productivity","2.1.2","4.1 and up","2018-06",0,0,1,5
"cm, mm to inch, feet converter tool",25,4.3,176,2.3,1e+05,0,0,0,81,"2016-09-27",277,9,2016,64,"PRODUCTIVITY","Free","Productivity","1.1","2.3.3 and up","2016-09",0,0,2,5
"Commission Manager",25,3.2,12,2.2,1000,0,0,0,81,"2015-03-26",119,9,2015,46,"PRODUCTIVITY","Free","Productivity","1.0.0.0","2.3.3 and up","2015-03",0,0,0,2
"Content Transfer",25,4.7,19302,7.2,5e+06,0,0,0,81,"2018-06-28",1765,15,2018,85,"PRODUCTIVITY","Free","Productivity","3.5.12","4.0.3 and up","2018-06",0,40,3,9
"Cozi Family Organizer",25,4.4,56713,25,1e+06,0,0,0,81,"2018-07-05",2667,17,2018,86,"PRODUCTIVITY","Free","Productivity","9.3.5776","4.1 and up","2018-07",40,0,2,8
"CTRL-F - Search the real world",25,4.4,607,37,50000,0,0,0,81,"2016-07-24",277,15,2016,62,"PRODUCTIVITY","Free","Productivity","1.1","4.0.3 and up","2016-07",0,0,2,4
"Curriculum Vitae - Resume CV",25,2.6,80,2.2,10000,0,0,0,81,"2017-05-11",1154,17,2017,72,"PRODUCTIVITY","Free","Productivity","2.129.12","4.1 and up","2017-05",0,0,0,3
"DF-Server Mobile",25,4.9,17,76,100,0,0,0,81,"2016-06-07",118,20,2016,61,"PRODUCTIVITY","Free","Productivity","1.0.0","4.4 and up","2016-06",0,0,3,0
"DG Phone Call Task Switcher",25,4.2,43,0.034,1000,0,0,0,81,"2015-06-09",1080,13,2015,49,"PRODUCTIVITY","Free","Productivity","2.04","4.0 and up","2015-06",0,0,2,2
"DG Users",25,4.5,8,3.1,100,0,0,0,81,"2018-06-07",424,15,2018,85,"PRODUCTIVITY","Free","Productivity","1.2","4.0.3 and up","2018-06",0,0,3,0
"DL Image Manager",25,5,2,1.7,10,1,0.99,0,81,"2018-07-29",207,13,2018,86,"PRODUCTIVITY","Paid","Productivity","1.0.5","4.0 and up","2018-07",0,0,3,0
"Do it (Tomorrow)",25,4.3,26452,4,1e+06,0,0,0,81,"2014-11-03",1282,5,2014,42,"PRODUCTIVITY","Free","Productivity","2.3.5","2.1 and up","2014-11",0,0,2,8
"Do Not Disturb",25,4.3,6120,1.9,1e+05,0,0,0,81,"2017-11-22",1134,27,2017,78,"PRODUCTIVITY","Free","Productivity","2.10.1","6.0 and up","2017-11",0,0,2,5
"Download Manager Pro FREE",25,3.8,637,7.2,1e+05,0,0,0,81,"2017-10-31",1335,17,2017,77,"PRODUCTIVITY","Free","Productivity","2.5","4.1 and up","2017-10",0,0,0,5
"Dr.Android Repair Master 2017",25,3.8,1205,4.3,1e+05,0,0,0,81,"2018-06-10",1013,13,2018,85,"PRODUCTIVITY","Free","Productivity","2","4.0 and up","2018-06",0,0,0,5
"DS-20000S",25,1.8,12,14,1000,0,0,0,81,"2018-08-03",446,17,2018,87,"PRODUCTIVITY","Free","Productivity","1.2.2","4.1 and up","2018-08",0,0,0,2
"DS cam",25,3.6,3227,35,5e+05,0,0,0,81,"2018-07-26",1528,17,2018,86,"PRODUCTIVITY","Free","Productivity","3.0.1","4.1 and up","2018-07",0,0,0,6
"DS file",25,4.1,10676,12,1e+06,0,0,0,81,"2018-05-23",1950,17,2018,84,"PRODUCTIVITY","Free","Productivity","4.11.0","4.1 and up","2018-05",0,0,1,8
"DS note",25,3.9,2046,60,1e+05,0,0,0,81,"2018-06-11",344,20,2018,85,"PRODUCTIVITY","Free","Productivity","1.10.1","4.4 and up","2018-06",0,0,0,5
"DT Manager",25,4,9,3.1,500,0,0,0,81,"2015-05-21",718,8,2015,48,"PRODUCTIVITY","Free","Productivity","1.7","2.3 and up","2015-05",0,0,1,1
"Dz Dinars Numbers to letters",25,4.7,2807,9.8,1e+05,0,0,0,81,"2016-12-15",81,15,2016,67,"PRODUCTIVITY","Free","Productivity","0.74 11.12.2016","4.0.3 and up","2016-12",0,0,3,5
"e-Boks.dk",25,3.2,6752,3.3,1e+06,0,0,0,81,"2018-03-21",1767,15,2018,82,"PRODUCTIVITY","Free","Productivity","3.5.2","4.0.3 and up","2018-03",0,0,0,8
"Easy Voice Recorder",25,4.4,205191,7.1,1e+07,0,0,0,81,"2018-06-20",1314,17,2018,85,"PRODUCTIVITY","Free","Productivity","2.4.5","4.1 and up","2018-06",1,39,2,9
"EB Scanner",25,5,9,25,50,0,0,0,81,"2018-02-11",743,15,2018,81,"PRODUCTIVITY","Free","Productivity","1.7.8","4.0.3 and up","2018-02",0,0,3,0
"EC Taximeter",25,3.9,162,5,10000,0,0,0,81,"2018-05-14",1547,13,2018,84,"PRODUCTIVITY","Free","Productivity","3.0.21","4.0 and up","2018-05",0,0,0,3
"eG Monitor",25,4.6,8,7.5,100,0,0,0,81,"2018-07-27",1061,17,2018,86,"PRODUCTIVITY","Free","Productivity","2.0.7","4.1 and up","2018-07",0,0,3,0
"Ek Vote",25,5,43,6.2,500,0,0,0,81,"2017-11-07",277,15,2017,78,"PRODUCTIVITY","Free","Productivity","1.1","4.0.3 and up","2017-11",0,0,3,1
"Electricity Bill Calculator BD",25,4.3,247,4,10000,0,0,0,81,"2016-06-22",424,15,2016,61,"PRODUCTIVITY","Free","Productivity","1.2","4.0.3 and up","2016-06",0,0,2,3
"Emoji Android L Keyboard",25,4,11535,6.8,1e+06,0,0,0,81,"2017-12-07",628,13,2017,79,"PRODUCTIVITY","Free","Productivity","1.42","4.0 and up","2017-12",0,0,1,8
"Epson iProjection",25,3.5,3930,18,1e+06,0,0,0,81,"2018-03-22",1523,13,2018,82,"PRODUCTIVITY","Free","Productivity","3.0.0","4.0 and up","2018-03",0,0,0,8
"ER Assist",25,5,3,28,10,0,0,0,81,"2016-12-06",29,17,2016,67,"PRODUCTIVITY","Free","Productivity","0.1.7","4.1 and up","2016-12",0,0,3,0
"ES Billing System (Offline App)",25,5,1,4.2,100,0,0,0,81,"2018-05-17",113,17,2018,84,"PRODUCTIVITY","Free","Productivity","1.0","4.1 and up","2018-05",0,0,3,0
"ES Disk Analyzer - Storage Space",25,4.7,5867,4.4,1e+05,0,0,0,81,"2017-10-31",177,13,2017,77,"PRODUCTIVITY","Free","Productivity","1.0.2.9","4.0 and up","2017-10",0,0,3,5
"ES File Explorer/Manager PRO",25,4.7,81614,6.6,5e+05,1,2.99,0,81,"2018-07-11",2732,13,2018,86,"PRODUCTIVITY","Paid","Productivity","Pro 1.1.4.1","4.0 and up","2018-07",0,0,3,6
"ES Holo Theme for Pro",25,4.2,4737,1.7,5e+05,0,0,0,81,"2015-11-26",1048,3,2015,54,"PRODUCTIVITY","Free","Productivity","2.0.3","2.0 and up","2015-11",0,0,2,6
"ES Material Theme for Pro",25,4.2,14428,1.2,1e+06,0,0,0,81,"2015-12-03",1048,7,2015,55,"PRODUCTIVITY","Free","Productivity","2.0.3","2.2 and up","2015-12",0,0,2,8
"ESLock File Recovery Lite",25,3,460,0.161,50000,0,0,0,81,"2016-01-05",673,15,2016,56,"PRODUCTIVITY","Free","Productivity","1.5.9","4.0.3 and up","2016-01",0,0,0,4
"ESS Mobile for AE",25,1.9,63,1.8,5000,0,0,0,81,"2016-09-27",1028,10,2016,64,"PRODUCTIVITY","Free","Productivity","2.0.1027","3.0 and up","2016-09",0,0,0,2
"EU Economy",25,3.6,47,0.879,5000,0,0,0,81,"2017-12-19",2645,18,2017,79,"PRODUCTIVITY","Free","Productivity","9.0","4.2 and up","2017-12",0,0,0,2
"Eurostat Country Profiles",25,3.7,87,2,10000,0,0,0,81,"2018-04-12",1880,15,2018,83,"PRODUCTIVITY","Free","Productivity","37.0","4.0.3 and up","2018-04",0,0,0,3
"EX File Explorer File Manager",25,4,4660,5.9,1e+06,0,0,0,81,"2016-10-06",113,13,2016,65,"PRODUCTIVITY","Free","Productivity","1.0","4.0 and up","2016-10",0,0,1,8
"Exército Brasileiro",25,4.7,1730,16,1e+05,0,0,0,81,"2018-02-01",641,17,2018,81,"PRODUCTIVITY","Free","Productivity","1.5","4.1 and up","2018-02",0,0,3,5
"Extreme- Personal Voice Assistant",25,4.4,25627,9.8,1e+06,0,0,0,81,"2018-08-05",937,25,2018,87,"PRODUCTIVITY","Free","Productivity","132","5.0 and up","2018-08",0,0,2,8
"EY ATL Fuel Calculator",25,4.4,15,3.1,500,0,0,0,81,"2018-07-21",909,5,2018,86,"PRODUCTIVITY","Free","Productivity","12","2.1 and up","2018-07",0,0,2,1
"EZ Display",25,2.9,280,10,50000,0,0,0,81,"2014-11-14",128,13,2014,42,"PRODUCTIVITY","Free","Productivity","1.0.0.457","4.0 and up","2014-11",0,0,0,4
"EZ File Manager(Root Explorer)",25,3.5,626,1.2,1e+05,0,0,0,81,"2015-06-23",277,12,2015,49,"PRODUCTIVITY","Free","Productivity","1.1","3.2 and up","2015-06",0,0,0,5
"EZ Inspections",25,2.8,160,7.6,10000,0,0,0,81,"2018-07-27",2055,18,2018,86,"PRODUCTIVITY","Free","Productivity","4.5.24","4.2 and up","2018-07",0,0,0,3
"EZ Notes Lite",25,4.4,69,3.5,1000,0,0,0,81,"2016-07-08",1421,13,2016,62,"PRODUCTIVITY","Free","Productivity","2.79","4.0 and up","2016-07",0,0,2,2
"EZ Switch Widget",25,4.2,2412,0.192,1e+05,0,0,0,81,"2012-09-27",31,7,2012,16,"PRODUCTIVITY","Free","Productivity","0.1.8 beta","2.2 and up","2012-09",0,0,2,5
"F05WatchFace for Android Wear",25,3.9,127,5.9,1000,1,0.99,0,81,"2017-12-24",2486,19,2017,79,"PRODUCTIVITY","Paid","Productivity","7.0.1","4.3 and up","2017-12",0,0,0,2
"Fast Notes FJ",25,4.2,12,2.2,500,0,0,0,81,"2014-08-12",2576,7,2014,39,"PRODUCTIVITY","Free","Productivity","8.0.0","2.2 and up","2014-08",0,0,2,1
"Fayr - Co-Parenting Simplified",25,3.5,16,21,1000,0,0,0,81,"2018-07-20",646,25,2018,86,"PRODUCTIVITY","Free","Productivity","1.5.1","5.0 and up","2018-07",0,0,0,2
"File Explorer",25,4.1,979,0.72,1e+05,0,0,0,81,"2013-09-30",1113,7,2013,28,"PRODUCTIVITY","Free","Productivity","2.1.3","2.2 and up","2013-09",17,23,1,5
"Florida Cooling Supply HVAC",25,4.2,6,43,500,0,0,0,81,"2018-07-27",2594,20,2018,86,"PRODUCTIVITY","Free","Productivity","8.1.10.41","4.4 and up","2018-07",0,0,2,1
"FQ METER",25,3.9,17,2.4,1000,0,0,0,81,"2017-04-23",277,13,2017,71,"PRODUCTIVITY","Free","Productivity","1.1","4.0 and up","2017-04",0,0,0,2
"Friday: Smart Personal Assistant",25,4.4,2087,8.3,1e+05,0,0,0,81,"2018-06-24",1465,25,2018,85,"PRODUCTIVITY","Free","Productivity","20","5.0 and up","2018-06",0,0,2,5
"Ginger Keyboard - Emoji, GIFs, Themes & Games",25,4.4,162831,43,5e+06,0,0,0,81,"2018-08-01",2593,17,2018,87,"PRODUCTIVITY","Free","Productivity","8.1.01","4.1 and up","2018-08",0,0,2,9
"Goal Meter: Goal Tracker, Habit Changer,To-Do List",25,4.6,7969,20,1e+05,0,0,0,81,"2018-02-06",1415,20,2018,81,"PRODUCTIVITY","Free","Productivity","2.7.92","4.4 and up","2018-02",0,0,3,5
"Google AdSense",25,4.3,52677,2.9,1e+06,0,0,0,81,"2017-12-13",1692,13,2017,79,"PRODUCTIVITY","Free","Productivity","3.3","4.0 and up","2017-12",0,0,2,8
"Google Assistant",25,4.2,58675,1.3,1e+07,0,0,0,81,"2018-03-09",22,25,2018,82,"PRODUCTIVITY","Free","Productivity","0.1.187945513","5.0 and up","2018-03",40,0,2,9
"Hacker's Keyboard",25,4.4,41418,1.2,1e+06,0,0,0,81,"2016-12-11",2784,7,2016,67,"PRODUCTIVITY","Free","Productivity","v1.39.3","2.2 and up","2016-12",0,40,2,8
"IDM for Facebook <U+2605> Downloader",25,4.3,1905,3.1,1e+05,0,0,0,81,"2015-10-17",2569,8,2015,53,"PRODUCTIVITY","Free","Productivity","7.95","2.3 and up","2015-10",0,0,2,5
"IDM Internet Download Manager",25,3.9,1322,4.2,1e+05,0,0,0,81,"2016-10-25",201,18,2016,65,"PRODUCTIVITY","Free","Productivity","1.0.4","4.2 and up","2016-10",0,0,0,5
"Ike - To-Do List, Task List",25,4.6,6320,6.3,1e+05,0,0,0,81,"2016-12-10",1014,20,2016,67,"PRODUCTIVITY","Free","Productivity","2.0","4.4 and up","2016-12",0,0,3,5
"Inch/cm/Foot Conversion",25,4,319,2.1,1e+05,0,0,0,81,"2017-08-20",1023,9,2017,75,"PRODUCTIVITY","Free","Productivity","2.0.1","2.3.3 and up","2017-08",0,0,1,5
"Inputting Plus: Ctrl + Z/F/C/V",25,4.2,1117,3,50000,0,0,0,81,"2017-10-18",213,25,2017,77,"PRODUCTIVITY","Free","Productivity","1.0.6","5.0 and up","2017-10",0,0,2,4
"Inventory & Barcode scanner & WIFI scanner",25,4.6,1880,18,50000,1,1.49,0,81,"2018-07-01",2371,19,2018,86,"PRODUCTIVITY","Paid","Productivity","6.08","4.3 and up","2018-07",0,0,3,4
"IQ Test",25,4.2,1623,1.8,1e+05,0,0,0,81,"2018-03-06",756,8,2018,82,"PRODUCTIVITY","Free","Productivity","1.8","2.3 and up","2018-03",0,0,2,5
"iReadMe",25,5,8,22,100,0,0,0,81,"2018-03-06",641,20,2018,82,"PRODUCTIVITY","Free","Productivity","1.5","4.4 and up","2018-03",0,0,3,0
"iTranslate Translator & Dictionary",25,4.3,201718,35,1e+07,0,0,0,81,"2018-07-11",2072,17,2018,86,"PRODUCTIVITY","Free","Productivity","4.6.15","4.1 and up","2018-07",0,0,2,9
"JotterPad - Writer, Screenplay, Novel",25,4.6,57904,11,1e+06,0,0,0,81,"2018-07-01",923,18,2018,86,"PRODUCTIVITY","Free","Productivity","12.8.2-pi","4.2 and up","2018-07",0,0,3,8
"Keep My Notes - Notepad & Memo",25,4.6,122424,4.7,5e+06,0,0,0,81,"2018-03-16",580,9,2018,82,"PRODUCTIVITY","Free","Productivity","1.35.2","2.3.3 and up","2018-03",0,0,3,9
"Keeper: Free Password Manager & Secure Vault",25,4.2,74146,32,1e+07,0,0,0,81,"2018-07-16",916,20,2018,86,"PRODUCTIVITY","Free","Productivity","12.1.0","4.4 and up","2018-07",0,0,2,9
"Krypton by krypt.co",25,4.6,38,13,1000,0,0,0,81,"2018-07-17",1299,27,2018,86,"PRODUCTIVITY","Free","Productivity","2.4.0","6.0 and up","2018-07",0,0,3,2
"Larry H Miller Automotive",25,3.1,67,8.3,10000,0,0,0,81,"2018-07-18",1769,15,2018,86,"PRODUCTIVITY","Free","Productivity","3.5.3","4.0.3 and up","2018-07",0,0,0,3
"lifebox",25,4.2,56403,49,5e+06,0,0,0,81,"2018-07-27",1910,20,2018,86,"PRODUCTIVITY","Free","Productivity","4.0.5","4.4 and up","2018-07",0,0,2,9
"Loop - Habit Tracker",25,4.7,17955,3.8,1e+06,0,0,0,81,"2018-05-23",744,15,2018,84,"PRODUCTIVITY","Free","Productivity","1.7.9","4.0.3 and up","2018-05",0,0,3,8
"Lyra Virtual Assistant",25,4.5,41624,3.4,1e+06,0,0,0,81,"2018-05-24",464,15,2018,84,"PRODUCTIVITY","Free","Productivity","1.2.4","4.0.3 and up","2018-05",0,0,3,8
"Mahalaxmi Dindarshika 2018",25,4.2,25427,9.2,1e+06,0,0,0,81,"2018-01-05",980,13,2018,80,"PRODUCTIVITY","Free","Productivity","18.0","4.0 and up","2018-01",0,0,2,8
"MediaFire",25,4.1,71432,3.8,5e+06,0,0,0,81,"2017-11-01",1984,17,2017,78,"PRODUCTIVITY","Free","Productivity","4.2.2","4.1 and up","2017-11",0,0,1,9
"Memory Helper - To do list, Notepad, Notes, Memo",25,4.7,7566,4,5e+05,0,0,0,81,"2018-07-21",2477,17,2018,86,"PRODUCTIVITY","Free","Productivity","67","4.1 and up","2018-07",0,0,3,6
"MiAI (Artificial Intelligence) Assistant",25,3.7,3,7.5,100,0,0,0,81,"2018-03-01",887,17,2018,82,"PRODUCTIVITY","Free","Productivity","11.04","4.1 and up","2018-03",0,0,0,0
