"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_Q"
"AK47 Assault Rifle",29,3.9,54,2.8,10000,0,0,0,107,"2015-05-02",120,7,2015,48,"TOOLS","Free","Tools","1.0.0.1","2.2 and up","2015-05",0,0,1,1
"Alarm Clock Free",29,4,59973,11,1e+07,0,0,0,107,"2018-03-16",466,13,2018,82,"TOOLS","Free","Tools","1.2.5","4.0 and up","2018-03",6,34,1,3
"Alex Fuel Calculator for EK",29,4.9,19,3.3,500,0,0,0,107,"2018-06-15",756,5,2018,85,"TOOLS","Free","Tools","1.8","2.1 and up","2018-06",0,0,3,0
"All Language Translator",29,4,29944,2.1,5e+06,0,0,0,107,"2015-10-03",688,8,2015,53,"TOOLS","Free","Tools","1.6","2.3 and up","2015-10",0,0,1,3
"Analog and Digital Clock AW-7",29,4,202,2.9,50000,0,0,0,107,"2018-03-15",1014,19,2018,82,"TOOLS","Free","Tools","2.0","4.3 and up","2018-03",0,0,1,2
"Analog Clock AW-7",29,4.3,2158,3,1e+05,0,0,0,107,"2018-03-07",1014,19,2018,82,"TOOLS","Free","Tools","2.0","4.3 and up","2018-03",0,0,2,2
"Analog Clock AW-7 PRO",29,3.3,40,2.7,1000,1,1.99,0,107,"2018-03-07",1014,19,2018,82,"TOOLS","Paid","Tools","2.0","4.3 and up","2018-03",0,0,0,0
"Analog Clock AW Plus-7",29,4.2,725,3,1e+05,0,0,0,107,"2018-03-14",1014,19,2018,82,"TOOLS","Free","Tools","2.0","4.3 and up","2018-03",0,0,2,2
"Android P Launcher 9.0 launcher",29,4,164,2.3,10000,0,0,0,107,"2018-04-23",113,25,2018,83,"TOOLS","Free","Tools","1.0","5.0 and up","2018-04",0,0,1,1
"Android P Rotation",29,4.5,502,2,10000,0,0,0,107,"2018-07-15",641,25,2018,86,"TOOLS","Free","Tools","1.5","5.0 and up","2018-07",0,0,3,1
"Antenna Tool",29,4.2,522,2.9,50000,0,0,0,107,"2017-10-26",1194,15,2017,77,"TOOLS","Free","Tools","2.2 Free","4.0.3 and up","2017-10",0,0,2,2
"Antenna Tool Premium",29,4.5,14,2.9,500,1,0.99,0,107,"2017-10-26",1192,15,2017,77,"TOOLS","Paid","Tools","2.2","4.0.3 and up","2017-10",0,0,3,0
"Anti Adware",29,3.9,18751,3.6,1e+06,0,0,0,107,"2018-06-19",1782,17,2018,85,"TOOLS","Free","Tools","3.6","4.1 and up","2018-06",0,0,1,3
"Antivirus & Mobile Security",29,4.6,351267,5,1e+07,0,0,0,107,"2018-02-09",1581,13,2018,81,"TOOLS","Free","Tools","3.1.0","4.0 and up","2018-02",0,0,3,3
"AP Installer",29,4.5,23,0.283,5000,0,0,0,107,"2018-07-20",927,12,2018,86,"TOOLS","Free","Tools","13","3.2 and up","2018-07",0,0,3,1
"AP Manager",29,4,177,2.8,10000,0,0,0,107,"2015-05-04",229,8,2015,48,"TOOLS","Free","Tools","1.0.8","2.3 and up","2015-05",0,0,1,1
"Ap Video Downloader for fb New 2018",29,4.2,676,5.4,1e+05,0,0,0,107,"2018-07-31",1543,15,2018,86,"TOOLS","Free","Tools","3.0.188","4.0.3 and up","2018-07",0,0,2,2
"ap,wifi testing,iperf,ping,android,Bluetooth,tcp",29,4.7,3,5.3,10,1,2.99,0,107,"2018-05-27",159,20,2018,84,"TOOLS","Paid","Tools","1.0.15","4.4 and up","2018-05",0,0,3,0
"APN Settings",29,3.7,3743,5.6,1e+06,0,0,0,107,"2018-08-03",2423,17,2018,87,"TOOLS","Free","Tools","6.4","4.1 and up","2018-08",0,0,0,3
"AppBrain Ad Detector",29,3.7,9221,1.7,1e+06,0,0,0,107,"2018-04-12",1200,17,2018,83,"TOOLS","Free","Tools","2.2.1","4.1 and up","2018-04",0,0,0,3
"AppLock - Fingerprint",29,4.4,745245,3.5,1e+07,0,0,0,107,"2018-04-13",2516,8,2018,83,"TOOLS","Free","Tools","7.2.0","2.3 and up","2018-04",21,19,3,3
"AppLock - Fingerprint Unlock",29,4.5,112482,2.1,5e+06,0,0,0,107,"2018-07-10",207,13,2018,86,"TOOLS","Free","Tools","1.0.5","4.0 and up","2018-07",0,0,3,3
"Apps Ads Detector",29,3.5,315,8.3,1e+05,0,0,0,107,"2018-02-19",1508,15,2018,81,"TOOLS","Free","Tools","25","4.0.3 and up","2018-02",0,0,0,2
"ARuler - AR Ruler app, Measure tools",29,4.3,1602,5,1e+05,0,0,0,107,"2018-08-03",328,29,2018,87,"TOOLS","Free","Tools","1.1.7","7.0 and up","2018-08",0,0,2,2
"AT&T FamilyMap®",29,3.5,21592,25,1e+07,0,0,0,107,"2017-10-24",848,15,2017,77,"TOOLS","Free","Tools","10.1.1","4.0.3 and up","2017-10",0,0,0,3
"AT&T Smart Wi-Fi",29,3.9,18513,6.1,1e+07,0,0,0,107,"2018-04-26",1649,17,2018,83,"TOOLS","Free","Tools","3.2","4.1 and up","2018-04",20,20,1,3
"Authy 2-Factor Authentication",29,4.3,15070,6.3,1e+06,0,0,0,107,"2018-07-30",1502,15,2018,86,"TOOLS","Free","Tools","23.2.7","4.0.3 and up","2018-07",0,0,2,3
"Autool BT-BOX",29,3.5,4,17,500,0,0,0,107,"2018-05-12",139,19,2018,84,"TOOLS","Free","Tools","1.0.1","4.3 and up","2018-05",0,0,0,0
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",29,4.5,648380,24,1e+07,0,0,0,107,"2018-08-01",2079,17,2018,87,"TOOLS","Free","Tools","4.6.4","4.1 and up","2018-08",0,0,3,3
"AW Browser with Chrome Custom Tabs",29,4,9,4.7,500,0,0,0,107,"2018-05-17",1402,27,2018,84,"TOOLS","Free","Tools","2.7","6.0 and up","2018-05",0,0,1,0
"Axxess AX-DSP",29,3.5,17,7.4,5000,0,0,0,107,"2018-06-04",1886,20,2018,85,"TOOLS","Free","Tools","3_1","4.4 and up","2018-06",0,0,0,1
"Axxess Updater",29,3.9,56,2.3,10000,0,0,0,107,"2016-12-19",545,11,2016,67,"TOOLS","Free","Tools","1.3.2","3.1 and up","2016-12",0,0,1,1
"AY Recorder - Screen Recorder, Live, Video Editor",29,4.3,12,3.8,500,0,0,0,107,"2017-05-15",1192,25,2017,72,"TOOLS","Free","Tools","2.2","5.0 and up","2017-05",0,0,2,0
"AZ PLAYER HD",29,3.2,24,4.7,10000,0,0,0,107,"2016-04-11",113,7,2016,59,"TOOLS","Free","Tools","1.0","2.2 and up","2016-04",0,0,0,1
"AZ Screen Recorder pro",29,4,60,3.7,5000,0,0,0,107,"2018-03-19",113,25,2018,82,"TOOLS","Free","Tools","1.0","5.0 and up","2018-03",0,0,1,1
"B-BLE(BLE4.0 Scan)",29,3.8,159,7.5,10000,0,0,0,107,"2018-04-20",2289,25,2018,83,"TOOLS","Free","Tools","5.5","5.0 and up","2018-04",0,0,1,1
"Barry EC",29,4.1,14,3.8,1000,0,0,0,107,"2017-12-18",517,9,2017,79,"TOOLS","Free","Tools","1.278.0037","2.3.3 and up","2017-12",0,0,1,0
"BatControl Pro",29,4.9,83,3.1,500,1,3.99,0,107,"2018-06-01",1015,25,2018,85,"TOOLS","Paid","Tools","2.0.0","5.0 and up","2018-06",0,0,3,0
"Battery Calibration",29,4.4,134412,11,5e+06,0,0,0,107,"2018-07-27",1555,20,2018,86,"TOOLS","Free","Tools","3.0.5","4.4 and up","2018-07",0,0,3,3
"Battery Notifier BT Free",29,4.5,21979,0.982,1e+06,0,0,0,107,"2017-06-07",1105,2,2017,73,"TOOLS","Free","Tools","2.1.15","1.6 and up","2017-06",0,0,3,3
"Battery Notifier Pro BT",29,4.7,1363,1.6,10000,1,2.59,0,107,"2017-06-07",1345,2,2017,73,"TOOLS","Paid","Tools","2.5.18","1.6 and up","2017-06",0,0,3,1
"Battle Result Predictor for CR",29,4.2,7063,17,1e+06,0,0,0,107,"2017-02-04",534,17,2017,69,"TOOLS","Free","Tools","1.3.0","4.1 and up","2017-02",0,0,2,3
"BC Wildfire",29,3.3,27,5,5000,0,0,0,107,"2018-05-31",847,25,2018,84,"TOOLS","Free","Tools","10.1.0","5.0 and up","2018-05",0,0,0,1
"BD tools",29,4,21,0.21,10000,0,0,0,107,"2015-12-18",2372,18,2015,55,"TOOLS","Free","Tools","6.1","4.2 and up","2015-12",0,0,1,1
"BF-Calc",29,3.9,428,3.8,1e+05,0,0,0,107,"2015-03-31",466,9,2015,46,"TOOLS","Free","Tools","1.2.5","2.3.3 and up","2015-03",0,0,1,2
"BG Advisor™",29,4.4,7,5.6,1000,0,0,0,107,"2017-01-10",532,15,2017,68,"TOOLS","Free","Tools","1.3","4.0.3 and up","2017-01",0,0,3,0
"Bg+ Call Blocker",29,4.3,80,1.7,10000,0,0,0,107,"2018-03-20",424,13,2018,82,"TOOLS","Free","Tools","1.2","4.0 and up","2018-03",0,0,2,1
"Bhunaksha CG",29,4.1,67,4.1,10000,0,0,0,107,"2018-05-07",118,17,2018,84,"TOOLS","Free","Tools","1.0.0","4.1 and up","2018-05",0,0,1,1
"Bihar Land Records - RoR and EB Quick Pay",29,4,8,2.2,1000,0,0,0,107,"2018-08-07",139,25,2018,87,"TOOLS","Free","Tools","1.0.1","5.0 and up","2018-08",0,0,1,0
"Bitdefender Antivirus Free",29,4.5,78629,6.3,1e+06,0,0,0,107,"2018-07-20",1739,15,2018,86,"TOOLS","Free","Tools","3.4.406","4.0.3 and up","2018-07",0,0,3,3
"Bixby Button Remapper - bxActions",29,4.3,13064,4.6,1e+06,0,0,0,107,"2018-05-23",2101,29,2018,84,"TOOLS","Free","Tools","4.72","7.0 and up","2018-05",0,0,2,3
"Bixby Button Remapper - bxActions Pro / Coffee",29,3.9,319,0.025,10000,1,2.99,0,107,"2017-04-28",242,29,2017,71,"TOOLS","Paid","Tools","1.00","7.0 and up","2017-04",0,0,1,1
"BK Formula Calculator",29,5,6,11,100,0,0,0,107,"2015-08-08",18,18,2015,51,"TOOLS","Free","Tools","0.1.1","4.2 and up","2015-08",0,0,3,0
"BL IP-Camera",29,4.3,15,1.2,100,1,3.99,0,107,"2014-06-05",542,8,2014,37,"TOOLS","Paid","Tools","1.3.140606","2.3 and up","2014-06",0,0,2,0
"BL PowerPoint Remote",29,4.3,33,1,500,1,3.99,0,107,"2015-02-25",1383,8,2015,45,"TOOLS","Paid","Tools","2.6.150226","2.3 and up","2015-02",0,0,2,0
"Bluetooth Control BT->uC FREE",29,3.8,67,2.7,10000,0,0,0,107,"2016-06-06",796,10,2016,61,"TOOLS","Free","Tools","1.9.0","3.0 and up","2016-06",0,0,1,1
"Bluetooth Pair",29,3.5,1960,2.7,1e+06,0,0,0,107,"2018-08-04",1335,17,2018,87,"TOOLS","Free","Tools","2.5","4.1 and up","2018-08",0,0,0,3
"BM Online OEC Verification",29,4.1,783,4.2,1e+05,0,0,0,107,"2016-08-05",139,15,2016,63,"TOOLS","Free","Tools","1.0.1","4.0.3 and up","2016-08",0,0,1,2
"BM speed test",29,5,1,3.7,10,0,0,0,107,"2018-07-13",1014,20,2018,86,"TOOLS","Free","Tools","2.0","4.4 and up","2018-07",0,0,3,0
"Bowers & Wilkins DB Subwoofers",29,3.9,21,11,10000,0,0,0,107,"2018-01-19",428,25,2018,80,"TOOLS","Free","Tools","1.2.0.27","5.0 and up","2018-01",0,0,1,1
"BQ Scan",29,4.6,18,4,100,0,0,0,107,"2018-04-01",1741,13,2018,83,"TOOLS","Free","Tools","3.4.5","4.0 and up","2018-04",0,0,3,0
"BQ Scanner",29,3,2,2.7,100,0,0,0,107,"2017-10-10",139,20,2017,77,"TOOLS","Free","Tools","1.0.1","4.4 and up","2017-10",0,0,0,0
"BQ Services",29,3.7,5004,2.5,1e+06,0,0,0,107,"2018-07-09",2617,32,2018,86,"TOOLS","Free","Tools","8.3.6-e04ac87","Varies with device","2018-07",0,0,0,3
"BS Battery+",29,4.3,269,0.647,50000,0,0,0,107,"2012-08-18",1894,3,2012,15,"TOOLS","Free","Tools","4.0.1","2.0 and up","2012-08",0,0,2,2
"BT Controller",29,3.9,4374,13,1e+06,0,0,0,107,"2018-06-25",1598,18,2018,85,"TOOLS","Free","Tools","3.1.3","4.2 and up","2018-06",0,0,1,3
"Bt Notifier -Smartwatch notice",29,2.8,632,8.2,5e+05,0,0,0,107,"2017-05-23",113,27,2017,72,"TOOLS","Free","Tools","1.0","6.0 and up","2017-05",0,0,0,2
"BT Remote (SPP) for Bluetooth",29,4.1,36,3.1,10000,0,0,0,107,"2016-10-24",393,9,2016,65,"TOOLS","Free","Tools","1.16","2.3.3 and up","2016-10",0,0,1,1
"BTNotification",29,3.9,15665,0.373,5e+06,0,0,0,107,"2016-07-08",313,13,2016,62,"TOOLS","Free","Tools","1.1.43","4.0 and up","2016-07",0,0,1,3
"Bubble",29,4.5,31621,0.208,5e+06,0,0,0,107,"2011-07-10",1023,2,2011,6,"TOOLS","Free","Tools","2.0.1","1.6 and up","2011-07",0,0,3,3
"BW Smart",29,3.7,50,19,5000,0,0,0,107,"2017-06-06",2782,13,2017,73,"TOOLS","Free","Tools","v1.2.2","4.0 and up","2017-06",0,0,0,1
"BZ Conferencing",29,4.7,7,29,1000,0,0,0,107,"2018-06-27",1821,17,2018,85,"TOOLS","Free","Tools","3.8.3","4.1 and up","2018-06",0,0,3,0
"CA Auth ID",29,3.8,39,0.375,10000,0,0,1,107,"2014-10-17",1200,2,2014,41,"TOOLS","Free","Tools","2.2.1","1.6 and up","2014-10",0,0,1,1
"CA DMV",29,4.2,5463,6,1e+06,0,0,0,107,"2017-08-25",1889,17,2017,75,"TOOLS","Free","Tools","4.0","4.1 and up","2017-08",0,0,2,3
"CA Mobile OTP",29,3.3,688,5.5,1e+05,0,0,0,107,"2017-09-05",1282,9,2017,76,"TOOLS","Free","Tools","2.3.5","2.3.3 and up","2017-09",0,0,0,2
"CABLE SIZE CALCULATOR BS 7671",29,3.9,333,1.1,1e+05,0,0,0,107,"2016-02-03",1298,8,2016,57,"TOOLS","Free","Tools","2.4","2.3 and up","2016-02",0,0,1,2
"Calculator - free calculator ,multi calculator app",29,4.4,1236,5.8,1e+05,0,0,0,107,"2018-07-06",2598,18,2018,86,"TOOLS","Free","Tools","8.1.6","4.2 and up","2018-07",38,0,3,2
"Calculator - free calculator, multi calculator app",29,4.6,25592,7.5,1e+07,0,0,0,107,"2018-07-31",2814,18,2018,86,"TOOLS","Free","Tools","v8.0.1.8.0629.1","4.2 and up","2018-07",36,4,3,3
"Calculator ++",29,4.6,33509,3.6,1e+06,0,0,0,107,"2018-05-12",1226,20,2018,84,"TOOLS","Free","Tools","2.2.7","4.4 and up","2018-05",40,0,3,3
"Calculator CM",29,4.4,8,1.8,500,0,0,0,107,"2015-03-09",113,8,2015,46,"TOOLS","Free","Tools","1.0","2.3 and up","2015-03",0,0,3,0
"Calculator with Percent (Free)",29,4.8,48211,7.4,1e+06,0,0,0,107,"2017-11-18",1873,17,2017,78,"TOOLS","Free","Tools","32.1","4.1 and up","2017-11",38,2,3,3
"CALCU™ Stylish Calculator Free",29,4.7,152692,11,5e+06,0,0,0,107,"2018-07-07",1774,17,2018,86,"TOOLS","Free","Tools","3.5.6","4.1 and up","2018-07",2,38,3,3
"Calcy IV",29,4.8,36557,14,1e+06,0,0,0,107,"2018-08-03",1362,25,2018,87,"TOOLS","Free","Tools","2.51f","5.0 and up","2018-08",0,0,3,3
"Car G-Force Meter",29,4.2,184,1.3,10000,0,0,0,107,"2017-07-29",1241,13,2017,74,"TOOLS","Free","Tools","2.23","4.0 and up","2017-07",0,0,2,1
"Card Creator for CR",29,4.4,117850,17,1e+07,0,0,0,107,"2018-05-19",759,17,2018,84,"TOOLS","Free","Tools","1.8.0","4.1 and up","2018-05",0,0,3,3
"CB Frequencies",29,4,5,1.4,100,1,0.99,0,107,"2015-12-24",113,15,2015,55,"TOOLS","Paid","Tools","1.0","4.0.3 and up","2015-12",0,0,1,0
"CB Frequencies FREE!",29,3.1,364,2.3,1e+05,0,0,0,107,"2018-03-02",1013,15,2018,82,"TOOLS","Free","Tools","2","4.0.3 and up","2018-03",0,0,0,2
"CBRadioTab",29,3.9,127,1.5,50000,0,0,0,107,"2017-04-01",113,10,2017,71,"TOOLS","Free","Tools","1.0","3.0 and up","2017-04",0,0,1,2
"CE on the go",29,4.4,79,3.7,10000,0,0,0,107,"2018-02-15",524,9,2018,81,"TOOLS","Free","Tools","1.283.0037","2.3.3 and up","2018-02",0,0,3,1
"CE Smart",29,5,3,29,100,0,0,0,107,"2018-05-28",1195,17,2018,84,"TOOLS","Free","Tools","2.2.0","4.1 and up","2018-05",0,0,3,0
"Centimeter Ruler",29,3.3,16,1.3,10000,0,0,0,107,"2016-11-05",1014,13,2016,66,"TOOLS","Free","Tools","2.0","4.0 and up","2016-11",0,0,0,1
"CF-Bench",29,4.4,2132,0.103,1e+05,0,0,0,107,"2013-07-03",532,5,2013,26,"TOOLS","Free","Tools","1.3","2.1 and up","2013-07",0,0,3,2
"CF-Bench Pro",29,4.6,159,0.029,1000,1,1.49,0,107,"2011-06-23",277,2,2011,5,"TOOLS","Paid","Tools","1.1","1.6 and up","2011-06",0,0,3,0
